"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R2","R_0402","27.5mm","79.2mm","27.5mm","79.2mm","27.5mm","78.7mm","T","90.00",""
"R1","R_0402","27.5mm","81.4mm","27.5mm","81.4mm","27.5mm","80.9mm","T","90.00",""
"Q6","SOT-23","15.7398mm","42.4106mm","15.7398mm","42.4106mm","14.6398mm","43.3606mm","T","270.00","2N7002P,235"
"Q5","ASF","67.9894mm","84.6875mm","67.9704mm","84.709mm","69.1006mm","85.9614mm","B","270.00","ASFL1-50.000MHZ-EK-T"
"Q4","SOT-23","89.3064mm","73.0504mm","89.3064mm","73.0504mm","90.4064mm","72.1004mm","T","90.00","2N7002P,235"
"Q3","CRYSTAL_3.2X2.5","28.3127mm","34.9877mm","28.3mm","34.975mm","29.4176mm","34.1368mm","B","180.00","ABM8G-25.000MHZ-4Y-T3"
"Q2","SOT-23","90.3732mm","92.7862mm","90.3732mm","92.7862mm","89.2732mm","91.8362mm","B","90.00","BC818-40LT1G"
"Q1","SOT-23","72.452mm","95.2388mm","72.452mm","95.2388mm","73.402mm","96.3388mm","T","180.00","2N7002P,235"
"LED18","VD_0603","76.1322mm","-16mm","76.1322mm","-16mm","76.1322mm","-15.2mm","T","270.00","LTST-C191KGKT"
"LED17","VD_0603","50.05mm","-16mm","50.05mm","-16mm","50.05mm","-15.2mm","T","270.00","LTST-C193TBKT-5A"
"LED16","VD_0603","54.05mm","-16mm","54.05mm","-16mm","54.05mm","-15.2mm","T","270.00","LTST-C191KSKT"
"LED15","VD_0603","56.05mm","-16mm","56.05mm","-16mm","56.05mm","-15.2mm","T","270.00","LTST-C191KGKT"
"LED14","VD_0603","52.05mm","-16mm","52.05mm","-16mm","52.05mm","-15.2mm","T","270.00","LTST-C191KRKT"
"LED13","VD_0603","74mm","-16mm","74mm","-16mm","74mm","-15.2mm","T","270.00","LTST-C191KRKT"
"LED12","VD_0603","32.35mm","-16mm","32.35mm","-16mm","32.35mm","-15.2mm","T","270.00","LTST-C191KSKT"
"LED11","VD_0603","28.35mm","-16mm","28.35mm","-16mm","28.35mm","-15.2mm","T","270.00","LTST-C193TBKT-5A"
"LED10","VD_0603","30.35mm","-16mm","30.35mm","-16mm","30.35mm","-15.2mm","T","270.00","LTST-C191KRKT"
"LED9","VD_0603","34.35mm","-16mm","34.35mm","-16mm","34.35mm","-15.2mm","T","270.00","LTST-C191KGKT"
"LED4","VD_0603","43.5142mm","-16mm","43.5142mm","-16mm","43.5142mm","-15.2mm","T","270.00","LTST-C191KSKT"
"LED3","VD_0603","39.5142mm","-16mm","39.5142mm","-16mm","39.5142mm","-15.2mm","T","270.00","LTST-C193TBKT-5A"
"LED2","VD_0603","41.5142mm","-16mm","41.5142mm","-16mm","41.5142mm","-15.2mm","T","270.00","LTST-C191KRKT"
"LED1","VD_0603","45.5142mm","-16mm","45.5142mm","-16mm","45.5142mm","-15.2mm","T","270.00","LTST-C191KGKT"
"JP7","PLD-6","18.25mm","29.475mm","18.25mm","29.475mm","16.98mm","32.015mm","T","270.00","M03X2NO_SILK"
"JP4","PLS-3","88.6793mm","-1.5mm","88.6793mm","-1.5mm","86.1393mm","-1.5mm","T","360.00","M03LOCK"
"JP3","PLD-6","89.117mm","31.1658mm","89.117mm","31.1658mm","87.847mm","33.7058mm","T","270.00","AVR_SPI_PRG_62X3_LOCK"
"JP2","PLS-2","64.6468mm","91.7448mm","64.6468mm","91.7448mm","63.3768mm","91.7448mm","T","0.00","61300211121"
"JP1","694106301002","22.4mm","-7.7mm","20mm","-18.4mm","20mm","-4.8mm","T","90.00","694106301002"
"J3","PLD-6","74.9046mm","12.5222mm","74.9046mm","12.5222mm","72.3646mm","11.2522mm","T","0.00","M03X2NO_SILK"
"J2","PLD-6","41.0464mm","12.5222mm","41.0464mm","12.5222mm","38.5064mm","11.2522mm","T","0.00","M03X2NO_SILK"
"J1","PLS-6","22.7838mm","20.4216mm","22.7838mm","20.4216mm","16.4338mm","20.4216mm","T","0.00","STM32-SWD"
"IC6","RCLAMP0502A","69.1134mm","11.0744mm","69.1134mm","11.0744mm","69.6134mm","11.7994mm","T","270.00","RCLAMP0502A.TCT"
"IC5","RCLAMP0502A","51.816mm","11.0744mm","51.816mm","11.0744mm","52.316mm","11.7994mm","T","270.00","RCLAMP0502A.TCT"
"IC4","SO20W","74.0918mm","30.464mm","74.0918mm","30.464mm","68.3768mm","25.4348mm","T","360.00","MC74AC244DW*"
"IC3","SO08","45.5368mm","25.2832mm","45.5368mm","25.2832mm","42.4634mm","27.1882mm","T","270.00","N25Q128A13ESE*"
"IC2","SO20W","39.356mm","38.3524mm","39.356mm","38.3524mm","44.3852mm","32.6374mm","T","90.00","MC74AC244DW*"
"IC1","SO08","33.1552mm","51.028mm","33.1552mm","51.028mm","30.0818mm","52.933mm","T","270.00","N25Q128A13ESE*"
"FB7","L_1206","39.624mm","58.2168mm","39.624mm","58.2168mm","39.624mm","56.8168mm","B","270.00","BLM31PG330SN1"
